Model,Fake Prevalence,Macro-F1,PR-AUC,MCC,Precision,Recall
Logistic Regression,50%,0.8533755274261603,0.9233455506903755,0.7404365942190693,0.7796610169491526,0.9928057553956835
Logistic Regression,20%,0.734965118423765,0.7278549354381669,0.5726282048012131,0.4672131147540984,0.9884393063583815
Logistic Regression,10%,0.6364510052665975,0.577212702196538,0.4435146492834772,0.28044280442804426,0.987012987012987
Logistic Regression,5%,0.5532415025151615,0.43988794748932875,0.3348404063574295,0.15584415584415584,1.0
GAT,50%,0.8589147898342077,0.9395384736667964,0.746349796979816,0.7885057471264367,0.9870503597122302
GAT,20%,0.7452440033085195,0.774434045824544,0.5835831243235708,0.480225988700565,0.9826589595375722
GAT,10%,0.6488829995156837,0.6546081083727827,0.45794418797159336,0.2923076923076923,0.987012987012987
GAT,5%,0.5643397595356551,0.5324994493621267,0.34686298544763017,0.16363636363636364,1.0
Hybrid HGB+GNN,50%,0.9827309170421414,0.9985844091035347,0.96579159356957,0.97054698457223,0.99568345323741
Hybrid HGB+GNN,20%,0.9637198137824105,0.9974181176526573,0.9299502865287838,0.8917525773195877,1.0
Hybrid HGB+GNN,10%,0.9323301680058437,0.9973269036204858,0.872910807883624,0.7857142857142857,1.0
Hybrid HGB+GNN,5%,0.8794269421993921,0.9954933003178619,0.7826207682807422,0.631578947368421,1.0
